data,ind_prod_nsa,ind_prod_sa,selic
2002-01-31,84.35985,90.76937,19.05
2002-02-28,81.23882,92.72694,18.97
2002-03-31,90.19468,92.43737,18.72
2002-04-30,92.75477,92.6048,18.38
2002-05-31,93.74586,92.5826,18.37
2002-06-30,90.30861,92.82576,18.1
2002-07-31,97.02905,93.23488,18.17
2002-08-31,97.40784,92.26778,17.84
2002-09-30,95.68385,92.7661,17.89
2002-10-31,103.92059,93.14798,19.59
2002-11-30,97.7581,93.03408,21.25
2002-12-31,86.94687,92.77329,23.03
2003-01-31,86.21006,93.05866,25.06
2003-02-28,83.64805,92.64221,25.68
2003-03-31,90.21116,92.42053,26.32
2003-04-30,89.17615,92.30586,26.32
2003-05-31,92.85332,90.92935,26.31
2003-06-30,88.90555,91.433,26.09
2003-07-31,94.79223,90.63369,25.36
2003-08-31,95.13301,91.7938,23.5
2003-09-30,99.81096,94.599,21.02
2003-10-31,104.87061,95.00298,19.54
2003-11-30,98.57643,95.94082,18.31
2003-12-31,90.74434,94.64889,16.91
2004-01-31,89.48491,96.37484,16.32
2004-02-29,86.27226,97.85775,16.3
2004-03-31,101.29663,98.50578,16.19
2004-04-30,95.78715,99.23973,15.96
2004-05-31,100.60552,100.12114,15.77
2004-06-30,100.36502,100.50619,15.8
2004-07-31,104.98271,101.21454,15.77
2004-08-31,107.37683,102.23246,15.86
2004-09-30,107.36306,102.72693,16.09
2004-10-31,108.93971,102.1062,16.41
2004-11-30,106.96965,102.06246,16.96
2004-12-31,98.73418,102.75895,17.5
2005-01-31,94.43859,103.24251,17.93
2005-02-28,89.01654,101.82112,18.47
2005-03-31,102.59731,102.82773,18.97
2005-04-30,101.36217,102.87106,19.32
2005-05-31,106.16136,106.40076,19.61
2005-06-30,106.49943,104.18781,19.75
2005-07-31,105.46883,103.5735,19.72
2005-08-31,111.39355,103.69129,19.75
2005-09-30,107.22933,102.96354,19.61
2005-10-31,109.21963,102.54977,19.25
2005-11-30,107.68567,103.44664,18.87
2005-12-31,100.94034,105.19781,18.24
2006-01-31,97.48057,105.60462,17.65
2006-02-28,93.46685,106.43136,17.28
2006-03-31,107.67339,105.8523,16.74
2006-04-30,99.8282,106.32523,16.19
2006-05-31,111.1146,107.1136,15.7
2006-06-30,106.1607,105.71927,15.18
2006-07-31,109.25591,106.57453,14.98
2006-08-31,114.86336,106.39939,14.66
2006-09-30,108.65657,105.18682,14.17
2006-10-31,113.57487,106.23128,13.95
2006-11-30,111.69618,107.55326,13.65
2006-12-31,101.34553,108.22448,13.19
2007-01-31,101.38564,108.04621,13.13
2007-02-28,96.22568,109.3517,12.93
2007-03-31,112.38721,110.80019,12.74
2007-04-30,105.592,111.92755,12.58
2007-05-31,116.40273,112.19049,12.43
