data,tipo,secao,valor
2002-01-31,NSA,2 Indústrias extrativas,72.33534
2002-01-31,SA,2 Indústrias extrativas,74.88279
2002-01-31,NSA,3 Indústrias de transformação,85.14812
2002-01-31,SA,3 Indústrias de transformação,91.81432
2002-01-31,NSA,3.10 Fabricação de produtos alimentícios,82.51886
2002-01-31,SA,3.10 Fabricação de produtos alimentícios,94.92745
2002-01-31,NSA,3.11 Fabricação de bebidas,62.53335
2002-01-31,SA,3.11 Fabricação de bebidas,63.81886
2002-01-31,NSA,3.12 Fabricação de produtos do fumo,76.39757
2002-01-31,SA,3.12 Fabricação de produtos do fumo,138.60784
2002-01-31,NSA,3.13 Fabricação de produtos têxteis,171.17767
2002-01-31,SA,3.13 Fabricação de produtos têxteis,184.12487
2002-01-31,NSA,3.14 Confecção de artigos do vestuário e acessórios,146.97768
2002-01-31,SA,3.14 Confecção de artigos do vestuário e acessórios,194.99712
2002-01-31,NSA,"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",175.11372
2002-01-31,SA,"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",189.46245
2002-01-31,NSA,3.16 Fabricação de produtos de madeira,108.28328
2002-01-31,SA,3.16 Fabricação de produtos de madeira,110.39509
2002-01-31,NSA,"3.17 Fabricação de celulose, papel e produtos de papel",65.41773
2002-01-31,SA,"3.17 Fabricação de celulose, papel e produtos de papel",64.39162
2002-01-31,NSA,"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",83.13963
2002-01-31,SA,"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",87.58757
2002-01-31,NSA,3.20 Fabricação de produtos químicos,77.12247
2002-01-31,SA,3.20 Fabricação de produtos químicos,80.49834
2002-01-31,NSA,3.21 Fabricação de produtos farmoquímicos e farmacêuticos,55.42792
2002-01-31,SA,3.21 Fabricação de produtos farmoquímicos e farmacêuticos,79.85542
2002-01-31,NSA,3.22 Fabricação de produtos de borracha e de material plástico,103.0236
2002-01-31,SA,3.22 Fabricação de produtos de borracha e de material plástico,104.70151
2002-01-31,NSA,3.23 Fabricação de produtos de minerais não metálicos,84.46445
2002-01-31,SA,3.23 Fabricação de produtos de minerais não metálicos,87.21059
2002-01-31,NSA,3.24 Metalurgia,96.26855
2002-01-31,SA,3.24 Metalurgia,98.82718
2002-01-31,NSA,"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos",107.88055
2002-01-31,SA,"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos",113.45459
2002-01-31,NSA,"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",105.75245
2002-01-31,SA,"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",127.67689
2002-01-31,NSA,"3.27 Fabricação de máquinas, aparelhos e materiais elétricos",96.56653
2002-01-31,SA,"3.27 Fabricação de máquinas, aparelhos e materiais elétricos",99.2335
2002-01-31,NSA,3.28 Fabricação de máquinas e equipamentos,62.23485
2002-01-31,SA,3.28 Fabricação de máquinas e equipamentos,70.53101
2002-01-31,NSA,"3.29 Fabricação de veículos automotores, reboques e carrocerias",72.60072
2002-01-31,SA,"3.29 Fabricação de veículos automotores, reboques e carrocerias",77.32199
2002-01-31,NSA,"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores",61.81587
2002-01-31,SA,"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores",63.25883
2002-01-31,NSA,3.31 Fabricação de móveis,134.02874
2002-01-31,SA,3.31 Fabricação de móveis,143.78227
2002-01-31,NSA,3.32 Fabricação de produtos diversos,103.77091
2002-01-31,SA,3.32 Fabricação de produtos diversos,112.07784
2002-02-28,NSA,2 Indústrias extrativas,68.27858
2002-02-28,SA,2 Indústrias extrativas,76.76108
2002-02-28,NSA,3 Indústrias de transformação,82.08498
2002-02-28,SA,3 Indústrias de transformação,94.28186
2002-02-28,NSA,3.10 Fabricação de produtos alimentícios,76.09358
2002-02-28,SA,3.10 Fabricação de produtos alimentícios,96.61758
2002-02-28,NSA,3.11 Fabricação de bebidas,57.82431
2002-02-28,SA,3.11 Fabricação de bebidas,64.92787
2002-02-28,NSA,3.12 Fabricação de produtos do fumo,109.88529
2002-02-28,SA,3.12 Fabricação de produtos do fumo,139.71266
2002-02-28,NSA,3.13 Fabricação de produtos têxteis,170.89122
2002-02-28,SA,3.13 Fabricação de produtos têxteis,185.27440000000001
2002-02-28,NSA,3.14 Confecção de artigos do vestuário e acessórios,157.81697
2002-02-28,SA,3.14 Confecção de artigos do vestuário e acessórios,195.8103
2002-02-28,NSA,"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",160.7344
2002-02-28,SA,"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",186.4174
2002-02-28,NSA,3.16 Fabricação de produtos de madeira,97.90458
2002-02-28,SA,3.16 Fabricação de produtos de madeira,107.7938
2002-02-28,NSA,"3.17 Fabricação de celulose, papel e produtos de papel",59.97418
2002-02-28,SA,"3.17 Fabricação de celulose, papel e produtos de papel",63.78737
2002-02-28,NSA,"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",76.60474
2002-02-28,SA,"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",88.91507
2002-02-28,NSA,3.20 Fabricação de produtos químicos,71.01247
2002-02-28,SA,3.20 Fabricação de produtos químicos,83.33716
2002-02-28,NSA,3.21 Fabricação de produtos farmoquímicos e farmacêuticos,76.4319
2002-02-28,SA,3.21 Fabricação de produtos farmoquímicos e farmacêuticos,83.05221
2002-02-28,NSA,3.22 Fabricação de produtos de borracha e de material plástico,97.03567
2002-02-28,SA,3.22 Fabricação de produtos de borracha e de material plástico,104.4799
2002-02-28,NSA,3.23 Fabricação de produtos de minerais não metálicos,81.17447
2002-02-28,SA,3.23 Fabricação de produtos de minerais não metálicos,89.03478
2002-02-28,NSA,3.24 Metalurgia,93.69049
2002-02-28,SA,3.24 Metalurgia,102.99438
2002-02-28,NSA,"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos",115.18651
2002-02-28,SA,"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos",123.35384
2002-02-28,NSA,"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",99.65788
