data,producao_ajustada,producao_nao_ajustada,diferenca_nivel,diferenca_percentual
2002-01-01,7787338,7239269,548069,7.570778209788864
2002-02-01,7980332,6971441,1008891,14.47177133106341
2002-03-01,7930592,7739979,190613,2.4627069401609525
2002-04-01,7939795,7959671,-19876,-0.24970881334165362
2002-05-01,7936153,8044721,-108568,-1.3495558143035713
2002-06-01,7973360,7749757,223603,2.8852904678172475
2002-07-01,7994745,8326465,-331720,-3.9839235497897363
2002-08-01,7912077,8358971,-446894,-5.346280062462238
2002-09-01,7962152,8211028,-248876,-3.0309968496027517
2002-10-01,7988912,8917857,-928945,-10.416684187692182
2002-11-01,7989551,8389029,-399478,-4.76190987061792
2002-12-01,7967386,7461271,506115,6.783227683326332
2003-01-01,7979409,7398043,581366,7.858375519039296
2003-02-01,7950220,7178186,772034,10.755279955130725
2003-03-01,7942551,7741394,201157,2.5984596572658614
2003-04-01,7923244,7652576,270668,3.536952785571823
2003-05-01,7805399,7968128,-162729,-2.0422488192960775
2003-06-01,7837833,7629354,208479,2.732590465719631
2003-07-01,7768594,8134515,-365921,-4.498375133612765
2003-08-01,7886944,8163758,-276814,-3.3907668502667576
2003-09-01,8116714,8565193,-448479,-5.2360641494009545
2003-10-01,8140657,8999382,-858725,-9.542044109251059
2003-11-01,8249603,8459253,-209650,-2.478351220846564
2003-12-01,8123962,7787148,336814,4.325254894346431
2004-01-01,8268161,7679072,589089,7.671356643094374
2004-02-01,8400708,7403381,997327,13.471236992936063
2004-03-01,8440682,8692685,-252003,-2.899023719368643
2004-04-01,8507814,8219893,287921,3.5027341596782335
2004-05-01,8598882,8633377,-34495,-0.39955396364597107
2004-06-01,8619628,8612739,6889,0.07998616932429758
2004-07-01,8680077,9009002,-328925,-3.651070340532725
2004-08-01,8774739,9214452,-439713,-4.771992951941151
2004-09-01,8817670,9213270,-395600,-4.293806650624587
2004-10-01,8765520,9348569,-583049,-6.236772708208072
2004-11-01,8758561,9179510,-420949,-4.585745862251911
2004-12-01,8815408,8472790,342618,4.043744740516408
2005-01-01,8865074,8104168,760906,9.389069920564342
2005-02-01,8744761,7638879,1105882,14.477019468432474
2005-03-01,8821628,8804301,17327,0.1968015405197976
2005-04-01,8825649,8698309,127340,1.4639627081539652
2005-05-01,9112804,9110147,2657,0.029165281306653412
2005-06-01,8948238,9139158,-190920,-2.0890327095778427
2005-07-01,8892640,9050718,-158078,-1.7465796636244812
2005-08-01,8895802,9559143,-663341,-6.939335461348362
2005-09-01,8846709,9201793,-355084,-3.858856638048691
2005-10-01,8793163,9372590,-579427,-6.1821438897892715
2005-11-01,8882715,9240954,-358239,-3.876645203514706
2005-12-01,9027582,8662109,365473,4.219214974090035
2006-01-01,9063240,8365213,698027,8.344401989524952
2006-02-01,9138127,8020779,1117348,13.930666834231431
2006-03-01,9076495,9239900,-163405,-1.7684715202545442
2006-04-01,9132036,8566672,565364,6.5995756578517195
2006-05-01,9189404,9535205,-345801,-3.62657121687473
2006-06-01,9058413,9110090,-51677,-0.5672501588897538
2006-07-01,9145503,9375703,-230200,-2.455282553212279
2006-08-01,9125077,9856902,-731825,-7.424493010075583
2006-09-01,9060485,9324271,-263786,-2.829025454107892
2006-10-01,9100874,9746331,-645457,-6.62256391661642
2006-11-01,9226409,9585113,-358704,-3.742303298876082
2006-12-01,9294637,8696881,597756,6.873222710532656
2007-01-01,9268095,8700323,567772,6.525872660129983
2007-02-01,9388550,8257525,1131025,13.696900705719939
2007-03-01,9506325,9644413,-138088,-1.4317926866051933
2007-04-01,9602419,9061288,541131,5.971899359119814
2007-05-01,9626391,9989001,-362610,-3.630092739003632
2007-06-01,9686990,9686738,252,0.0026014949511488084
2007-07-01,9652336,9983717,-331381,-3.319214677258986
2007-08-01,9784772,10493052,-708280,-6.749990374583104
2007-09-01,9723929,9835279,-111350,-1.1321488693915027
2007-10-01,9947879,10782723,-834844,-7.742422762784507
2007-11-01,9857515,10240580,-383065,-3.7406572674594574
2007-12-01,9893791,9262514,631277,6.815395906554089
2008-01-01,10050035,9478769,571266,6.026795251577499
2008-02-01,10020855,9107573,913282,10.027720886782898
2008-03-01,10061389,9774228,287161,2.9379404695695666
2008-04-01,10058571,9923669,134902,1.3593964087274646
2008-05-01,10120903,10245747,-124844,-1.218495830513866
2008-06-01,10275123,10327342,-52219,-0.5056383336583647
2008-07-01,10308605,10850247,-541642,-4.991978523622553
2008-08-01,10199914,10691062,-491148,-4.594005721788907
2008-09-01,10331295,10732784,-401489,-3.740772198527431
2008-10-01,10015574,10842509,-826935,-7.626786383114825
2008-11-01,9435613,9618181,-182568,-1.898155170920568
2008-12-01,8376265,7911826,464439,5.8701872361702545
2009-01-01,8555094,7866338,688756,8.755738693150494
2009-02-01,8762789,7606049,1156740,15.208158664242099
2009-03-01,8794996,8855244,-60248,-0.6803652163621887
