data,valor,serie,fonte,codigo
2002-01-01,19.05,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-02-01,18.97,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-03-01,18.72,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-04-01,18.38,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-05-01,18.37,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-06-01,18.1,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-07-01,18.17,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-08-01,17.84,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-09-01,17.89,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-10-01,19.59,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-11-01,21.25,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2002-12-01,23.03,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-01-01,25.06,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-02-01,25.68,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-03-01,26.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-04-01,26.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-05-01,26.31,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-06-01,26.09,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-07-01,25.36,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-08-01,23.5,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-09-01,21.02,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-10-01,19.54,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-11-01,18.31,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2003-12-01,16.91,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-01-01,16.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-02-01,16.3,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-03-01,16.19,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-04-01,15.96,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-05-01,15.77,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-06-01,15.8,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-07-01,15.77,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-08-01,15.86,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-09-01,16.09,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-10-01,16.41,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-11-01,16.96,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2004-12-01,17.5,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-01-01,17.93,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-02-01,18.47,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-03-01,18.97,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-04-01,19.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-05-01,19.61,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-06-01,19.75,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-07-01,19.72,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-08-01,19.75,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-09-01,19.61,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-10-01,19.25,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-11-01,18.87,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2005-12-01,18.24,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2006-01-01,17.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2006-02-01,17.28,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2006-03-01,16.74,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
