data,valor,serie,fonte,codigo,ajuste_sazonal,variavel,base
2002-01-01,7239269,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-02-01,6971441,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-03-01,7739979,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-04-01,7959671,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-05-01,8044721,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-06-01,7749757,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-07-01,8326465,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-08-01,8358971,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-09-01,8211028,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-10-01,8917857,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-11-01,8389029,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2002-12-01,7461271,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2003-01-01,7398043,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2003-02-01,7178186,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
