nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,periodo,mes,secoes_e_atividades_industriais_cnae_2_0_codigo,secoes_e_atividades_industriais_cnae_2_0,periodo_numerico,data,base,fonte,codigo,grandes_categorias_economicas_codigo,grandes_categorias_economicas,ajuste_sazonal,serie
1,Brasil,30,Número-índice,7239269,1,Brasil,11599,PIMPF - Número-índice (2012=100),200201,janeiro 2002,129314,1 Indústria geral,200201,2002-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,6971441,1,Brasil,11599,PIMPF - Número-índice (2012=100),200202,fevereiro 2002,129314,1 Indústria geral,200202,2002-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7739979,1,Brasil,11599,PIMPF - Número-índice (2012=100),200203,março 2002,129314,1 Indústria geral,200203,2002-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7959671,1,Brasil,11599,PIMPF - Número-índice (2012=100),200204,abril 2002,129314,1 Indústria geral,200204,2002-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8044721,1,Brasil,11599,PIMPF - Número-índice (2012=100),200205,maio 2002,129314,1 Indústria geral,200205,2002-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7749757,1,Brasil,11599,PIMPF - Número-índice (2012=100),200206,junho 2002,129314,1 Indústria geral,200206,2002-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8326465,1,Brasil,11599,PIMPF - Número-índice (2012=100),200207,julho 2002,129314,1 Indústria geral,200207,2002-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8358971,1,Brasil,11599,PIMPF - Número-índice (2012=100),200208,agosto 2002,129314,1 Indústria geral,200208,2002-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8211028,1,Brasil,11599,PIMPF - Número-índice (2012=100),200209,setembro 2002,129314,1 Indústria geral,200209,2002-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8917857,1,Brasil,11599,PIMPF - Número-índice (2012=100),200210,outubro 2002,129314,1 Indústria geral,200210,2002-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8389029,1,Brasil,11599,PIMPF - Número-índice (2012=100),200211,novembro 2002,129314,1 Indústria geral,200211,2002-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7461271,1,Brasil,11599,PIMPF - Número-índice (2012=100),200212,dezembro 2002,129314,1 Indústria geral,200212,2002-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7398043,1,Brasil,11599,PIMPF - Número-índice (2012=100),200301,janeiro 2003,129314,1 Indústria geral,200301,2003-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
